Metric,Value
Total Execution Time (s),34.01788854598999
Success Rate (%),99.0
Average Best Fitness,-0.99931370207543
Best Solution Found,-0.9999999993659427
Chromosome for Best Solution,[3.0330657718735665e-06, 2.8795398746561673e-06]
Mean of Optimal Points,[0.004067933683695806, 0.0043181699279596295]
Standard Deviation of Optimal Points,[0.03583348393722154, 0.03726521767493526]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,1.0
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_CR100
